,idx,title,ingredients,directions,#actions
29,29,One Hour Rolls,"[""1 c. milk"", ""2 Tbsp. sugar"", ""1 pkg. dry yeast"", ""1 Tbsp. salt"", ""3 Tbsp. Crisco oil"", ""2 c. plain flour""]","[""Put flour into a large mixing bowl."", ""Combine sugar, milk, salt and oil in a saucepan and heat to boiling; remove from heat and let cool to lukewarm."", ""Add yeast and mix well."", ""Pour into flour and stir."", ""Batter will be sticky."", ""Roll out batter on a floured board and cut with biscuit cutter."", ""Lightly brush tops with melted oleo and fold over."", ""Place rolls on a cookie sheet, put in a warm place and let rise for 1 hour."", ""Bake at 350\u00b0 for about 20 minutes. Yield: 2 1/2 dozen.""]",4
69,69,Moist Devil'S Food Cake,"[""2 c. sifted flour"", ""1 1/2 tsp. baking soda"", ""1/4 tsp. salt"", ""1/2 c. shortening"", ""1 1/2 c. sugar"", ""2 eggs, separated"", ""1/2 c. cocoa"", ""water"", ""1 tsp. vanilla"", ""1 c. milk""]","[""Sift together the flour, soda and salt; set aside."", ""Combine shortening and sugar in a bowl."", ""Beat until creamy."", ""Add egg yolks; beat well."", ""Combine cocoa, water and vanilla to make 1 cup; mix well."", ""Add to batter."", ""Add flour mixture alternately with milk."", ""Beat well after each addition; set aside."", ""Beat egg whites until stiff peaks form when beater is lifted."", ""Fold into batter. Bake in two 9-inch greased cake pans at 375\u00b0 for 30 minutes.""]",4
71,71,Potato Casserole,"[""6 c. diced potatoes"", ""1/2 c. chopped onion"", ""3/4 c. melted butter"", ""1 can cream of chicken soup"", ""1 (8 oz.) sour cream"", ""1 c. grated Cheddar cheese"", ""2 c. crushed cornflakes""]","[""Peel and dice potatoes; place in bowl of cold, salted water. Drain potatoes and dry on paper towels."", ""Mix 1/2 cup butter, onions, soup, sour cream and cheese; stir well."", ""Add potatoes to mixture and pour into a 2 1/2-quart casserole dish."", ""Crush cornflakes, mix with remaining butter."", ""Sprinkle cornflakes and butter on top of potato mixture."", ""Bake at 350\u00b0 for 50 minutes.""]",4
87,87,Fast Real Good Fudge,"[""4 lb. confectioners sugar"", ""1 c. cocoa"", ""1 c. chopped nuts"", ""1 lb. margarine (not whipped)"", ""1 lb. Velveeta"", ""1 Tbsp. vanilla""]","[""In large bowl, put confectioners sugar, cocoa and chopped nuts."", ""In saucepan, put margarine and Velveeta."", ""Melt and add vanilla."", ""Pour hot mixture over sugar mixture."", ""Mix quickly and pour into buttered cookie sheet."", ""Cool and cut into squares.""]",4
139,139,Tater Tot Casserole,"[""1 (32 oz.) bag Tater Tots"", ""2 lb. ground beef"", ""1 chopped onion"", ""1 chopped bell pepper"", ""1 can cream of mushroom soup"", ""1 can cream of celery soup"", ""1 can cream of chicken soup"", ""grated cheese""]","[""Spread Tater Tots in large cake pan, 9 x 13-inch. Brown meat and onions; drain well."", ""Pour meat mixture over Tater Tots. Mix all 3 soups in a bowl."", ""Pour over meat and Tater Tots. Sprinkle grated cheese to cover soup."", ""Bake at 325\u00b0 for 1 hour."", ""As you brown meat and onions, salt and pepper well.""]",4
205,205,Dad'S Chili,"[""2 lb. pork tenderloin, cubed"", ""1 Tbsp. oil"", ""1 Tbsp. minced garlic"", ""6 to 10 roasted and peeled Pueblo green chilies"", ""1 can stewed tomatoes"", ""4 c. water"", ""3 tsp. cornstarch"", ""garlic salt to taste""]","[""Fry pork in oil in saucepan over medium heat."", ""Add minced garlic to pork."", ""Dice green chilies and sprinkle with garlic salt. Drain meat."", ""Add 3 cups of water."", ""Add green chilies and diced tomatoes; add with garlic salt."", ""Mix cornstarch to remaining cup of water."", ""Then add to mixture."", ""Salt to taste."", ""Cook at medium heat.""]",4
271,271,Strawberry Yum-Yum,"[""1 stick margarine"", ""2 c. graham cracker crumbs"", ""2 pkg. Dream Whip"", ""1 (8 oz.) pkg. cream cheese"", ""1 c. sugar"", ""1 c. cold milk"", ""2 c. strawberries""]","[""Melt margarine and stir in crumbs."", ""Place half of mixture in bottom of baking dish."", ""Whip Dream Whip and cream cheese with sugar and cold milk."", ""Pour half of the Dream Whip mixture on crumbs."", ""Spread strawberries on creamed mixture."", ""Spread remainder of creamed mixture on top of strawberries."", ""Sprinkle remainder of crumbs on top."", ""Chill 3 hours or longer.""]",4
285,285,Chicken And Tortilla Casserole,"[""1 medium chicken"", ""1 can (12) soft tortillas"", ""1 large chopped onion"", ""1 large chopped green pepper"", ""1 can mushroom soup"", ""1 can cream of chicken soup"", ""1 can tomatoes and green chilies"", ""1/2 tsp. chili powder"", ""1/2 tsp. garlic salt"", ""1 lb. Cheddar cheese, grated""]","[""Boil chicken; bone and cut up meat."", ""To the meat, add onion and green pepper."", ""Mix soups, tomatoes, chili powder and garlic salt."", ""Dip each tortilla in chicken broth, then in a buttered 9 x 12-inch baking dish."", ""Place a layer of tortilla, 1/2 the chicken, 1/2 the soup mixture and 1/2 cheese."", ""Repeat layers; bake 30 to 40 minutes in 350\u00b0 oven until cheese melts.""]",4
343,343,"Working Mother'S ""Mess""(Renamed Dad'S Quick Delight)  ","[""1 lb. ground beef"", ""1 c. chopped onions"", ""2 to 3 cut-up tomatoes"", ""1 to 3 garlic buds (adjust for size and taste)"", ""16 oz. chunky spaghetti sauce"", ""1 to 3 Tbsp. tamari sauce (use smaller amount for low sodium diet)"", ""1 (16 oz.) can cooked beans (navy, pinto, kidney or pork and beans)""]","[""Brown meat over medium heat in a large skillet."", ""Remove meat from pan and drain off fat."", ""Stir 1 to 3 tablespoons tamari sauce into meat."", ""Saute onion, garlic and tomatoes."", ""Add spaghetti sauce and heat."", ""Add cooked beans and meat mixture."", ""Stir gently to mix; then simmer to blend flavors."", ""Serve when blended and heated through."", ""Serves 4. Serve with garlic bread and green salad.""]",4
344,344,Chicken With Tarragon,"[""4 chicken breasts, skin removed"", ""1/2 c. onion, chopped fine"", ""1/2 tsp. tarragon"", ""chicken bouillon""]","[""Lightly brown meat side of chicken breasts."", ""Lay all 4 chicken breasts, meat side down, in small (8-inch) skillet."", ""Add enough water, with chicken bouillon, added to just cover chicken."", ""Add onion over top of chicken."", ""Sprinkle with tarragon."", ""Bring to boil and reduce heat to medium."", ""Cover skillet with well-fitting lid and cook approximately 30 to 45 minutes or until chicken is done. Add a little water if necessary to replace any lost in steam.""]",4
