3,335.031,"2 Peel-Peel 4 large garlic cloves"
340.553,364.003,"4 Take-Take 1 tomato"
369,602.542,"9 Chop-Chop tomato roughly (anysize chunks are fine"
605.48,840.013,"14 puree-puree tomatoes without any water in a blender/mixer"
845.128,1047.474,"5 mince-mince the garlic"
1065.02,1183.4470000000001,"1 Heat-Heat 3 tbsp oil in a pan over medium heat"
1205.197,1248,"3 Add-Add 1/4 tsp mustard to the pan"
1249,1260.291,"6 Add-1/2 tsp cumin seeds to the pan"
1717.902,1765.261,"7 add-When mustard and cumin seeds begin to sizzle, add minced garlic"
1766.567,1768.5,"8 Lower-Lower the heat"
1778,1854,"10 Saute-Saute the garlic for 2-3 minutes"
1856,1908,"11 Add-Add 2 tbsp red chili powder to the pan"
1908.5,1971,"12 mix-mix well contents of the pan"
2013.374,2040,"13 Add-1/2 tsp salt to the pan"
2041,2071,"15 Add-Add tomato puree to the pan"
2091.778,2210.46,"16 Mix-Mix well tomato puree with contents in the pan"
2211,2411.1,"17 simmer-Allow the mixture to simmer over low heat for 5 minutes or until the mixture becomes thick"
2419,2423.004,"18 Take-Take the pan off the heat"
2425.279,2460,"19 Transfer-Transfer it to a serving bowl"
