3.008,217.49099999999999,"1 Spiralize-Spiralize 1 medium zucchini into thin noodles using a spiralizer"
222.478,326.796,"2 Peel-Peel 1 garlic cloves"
331.889,384.465,"3 Heat-Heat a large pan on medium heat"
384.43,465.06,"4 Melt-Melt 1 tablespoons of softened butter"
474.501,577.497,"5 Add-Add 1 large minced garlic cloves to the pan"
578.417,610.862,"6 Cook-Cook garlic until fragrant (about 1 minutes). Be careful not to burn garlic"
611.256,630.267,"7 Add-Add the zucchini noodles"
635.216,668.241,"8 season-pepper to taste"
668.03,692.262,"9 season-season with salt"
693.451,747.467,"10 Add-1/6 cup grated parmesan cheese"
753.699,863.275,"11 Cook-Cook for 2 minutes or until the zoodles are done"
863.46,866.449,"12 Remove-Remove from heat"
