4.298,10.806000000000001,[' (ErrorTag:Temperature Error, ErrorDescription:Heating the pan on a low heat.), (StepDescription: Heat-Heat a large pan on medium heat), (StepModifiedDescription: Heat-Heat a large pan on low heat.)']
13.205,56.995,[' (ErrorTag:Measurement Error, ErrorDescription:Improperly peel garlic.), (StepDescription: Peel-Peel 1 garlic cloves), (StepModifiedDescription: Peel-Peel 1 garlic cloves.)']
65.262,212.886,[' (ErrorTag:Technique Error, ErrorDescription:Instead of spiralizing chopping the zucchini.), (StepDescription: Spiralize-Spiralize 1 medium zucchini into thin noodles using a spiralizer), (StepModifiedDescription: Chop-chop 1 medium zucchini into thin noodles.)']
218.27,285.125,[' (ErrorTag:Measurement Error, ErrorDescription:Using teaspoon instead of tablespoon.), (StepDescription: Melt-Melt 1 tablespoons of softened butter), (StepModifiedDescription: Melt-Melt 1 teaspoon of softened butter.)']
288.214,325.738,[' (ErrorTag:Technique Error, ErrorDescription:Instead of mincing chopping the garlic.), (StepDescription: Add-Add 1 large minced garlic cloves to the pan), (StepModifiedDescription: Add-Add 1 large chopped garlic cloves to the pan)']
327.804,338.35,[' (StepDescription: season-pepper to taste)']
338.869,399.918,[' (ErrorTag:Measurement Error, ErrorDescription:Using less than 1/6 cup.), (StepDescription: Add-1/6 cup grated parmesan cheese), (StepModifiedDescription: Add-less than 1/6 cup grated parmesan cheese.)']
401.502,408.579,[' (StepDescription: Add-Add the zucchini noodles)']
410.802,424.553,[' (ErrorTag:Preparation Error, ErrorDescription:Spilled some salt.), (StepDescription: season-season with salt), (StepModifiedDescription: season-season with salt and spill some outside.)']
427.363,478.766,[' (ErrorTag:Missing Step, ErrorDescription:Step cannot be achieved.), (StepDescription: Cook-Cook garlic until fragrant (about 1 minutes). Be careful not to burn garlic), (StepModifiedDescription:  Cook-Cook garlic until fragrant (about 1 minutes). Be careful not to burn garlic)']
480.009,585.728,[' (ErrorTag:Timing Error, ErrorDescription:Cooking for less than 2 minutes.), (StepDescription: Cook-Cook for 2 minutes or until the zoodles are done), (StepModifiedDescription: Cook-Cook for 1 minute 30 seconds or until the zoodles are done.)']
586.051,592.037,[' (ErrorTag:Preparation Error, ErrorDescription:Spill some parmeasan while adding.), (StepDescription: Top-Top with more parmesan if desired), (StepModifiedDescription: Top-Top with more parmesan if desired and spill some.)']
594.258,599.5360000000001,[' (StepDescription: Remove-Remove from heat)']
