5.128,30.049,[' (ErrorTag:Preparation Error, ErrorDescription:Heat-Heat a large saucepan on medium heat), (StepDescription: Heat-Heat a large pan on medium heat), (StepModifiedDescription: Heat-Heat a large saucepan on medium heat)']
47.522,125.005,[' (ErrorTag:Technique Error, ErrorDescription:Peel-Peel 1 garlic cloves without pressing the garlic.), (StepDescription: Peel-Peel 1 garlic cloves), (StepModifiedDescription: Peel-Peel 1 garlic cloves without pressing the garlic. )']
142.257,229.798,[' (ErrorTag:Preparation Error, ErrorDescription:Melt-Melt 1 tablespoons of clarified butter(ghee)), (StepDescription: Melt-Melt 1 tablespoons of softened butter), (StepModifiedDescription: Melt-Melt 1 tablespoons of clarified butter(ghee))']
230.82,422.367,[' (ErrorTag:Timing Error, ErrorDescription:Cook-Cook garlic until it burns (about 2.5 minutes). Put melted ghee at the start of cooking.), (ErrorTag:Preparation Error, ErrorDescription:Cook-Cook garlic until it burns (about 2.5 minutes). Put melted ghee at the start of cooking.), (StepDescription: Cook-Cook garlic until fragrant (about 1 minutes). Be careful not to burn garlic), (StepModifiedDescription: Cook-Cook garlic until it burns (about 2.5 minutes). Put melted ghee at the start of cooking.)']
434.024,457.432,[' (ErrorTag:Technique Error, ErrorDescription:season-season with salt. Spillage happens.), (StepDescription: season-season with salt), (StepModifiedDescription: season-season with salt. Spillage happens.)']
467.511,638.299,[' (ErrorTag:Technique Error, ErrorDescription:Spiralize-Spiralize 1 medium zucchini into thin noodles using a spiralizer. Did not remove top part of zucchini. Just pressing the zucchini against the spiralizer at the start. Incomplete action of spiralizing. Used both ends of zucchini. Spilling happens.), (StepDescription: Spiralize-Spiralize 1 medium zucchini into thin noodles using a spiralizer), (StepModifiedDescription: Spiralize-Spiralize 1 medium zucchini into thin noodles using a spiralizer. Did not remove top part of zucchini. Just pressing the zucchini against the spiralizer at the start. Incomplete action of spiralizing. Used both ends of zucchini. Spilling happens.)']
653.195,684.463,[' (StepDescription: season-pepper to taste)']
686.763,710.544,[' (ErrorTag:Technique Error, ErrorDescription:Add-Add 1 large sliced garlic cloves to the pan. Throwing cloves. Spilling also.), (StepDescription: Add-Add 1 large minced garlic cloves to the pan), (StepModifiedDescription: Add-Add 1 large sliced garlic cloves to the pan. Throwing cloves. Spilling also.)']
726.87,759.478,[' (ErrorTag:Technique Error, ErrorDescription:Add-Add the zucchini noodles. Improper way of transferring. Not taking the chopping board and trasferring with hand. Spilling the noodles as well.), (StepDescription: Add-Add the zucchini noodles), (StepModifiedDescription: Add-Add the zucchini noodles. Improper way of transferring. Not taking the chopping board and trasferring with hand. Spilling the noodles as well.)']
771.139,814.779,[' (StepDescription: Add-1/6 cup grated parmesan cheese)']
821.053,959.614,[' (ErrorTag:Technique Error, ErrorDescription:Cook-Cook for 2 minutes with improper action. Just pressing the zoodles. Taking zoodles in the spoon and out of container. Spilling the zoodles as well.), (StepDescription: Cook-Cook for 2 minutes or until the zoodles are done), (StepModifiedDescription: Cook-Cook for 2 minutes with improper action. Just pressing the zoodles. Taking zoodles in the spoon and out of container. Spilling the zoodles as well.)']
967.303,974.083,[' (StepDescription: Remove-Remove from heat)']
978.203,997.577,[' (StepDescription: Top-Top with more parmesan if desired)']
